rank,name,year_on_ballot,votes,percent_vote,inducted
1,Carlos Beltrán,4th,358,84.2,Y
2,Andruw Jones,9th,333,78.4,Y
3,Chase Utley,3rd,251,59.1,N
4,Andy Pettitte,8th,206,48.5,N
5,Félix Hernández,2nd,196,46.1,N
6,Alex Rodriguez,5th,170,40,N
7,X-Manny Ramirez,10th,165,38.8,N
8,Bobby Abreu,7th,131,30.8,N
9,Jimmy Rollins,5th,108,25.4,N
10,Cole Hamels,1st,101,23.8,N
11,Dustin Pedroia,2nd,88,20.7,N
12,Mark Buehrle,6th,85,20,N
13,Omar Vizquel,9th,78,18.4,N
14,David Wright,3rd,63,14.8,N
15,Francisco Rodríguez,4th,50,11.8,N
16,Torii Hunter,6th,37,8.7,N
17,X-Ryan Braun,1st,15,3.5,N
18,X-Edwin Encarnación,1st,6,1.4,N
19,X-Shin-Soo Choo,1st,3,0.7,N
20,X-Hunter Pence,1st,2,0.5,N
21,X-Matt Kemp,1st,2,0.5,N
22,X-Rick Porcello,1st,2,0.5,N
23,X-Nick Markakis,1st,1,0.2,N
24,X-Alex Gordon,1st,1,0.2,N
25,X-Daniel Murphy,1st,0,0,N
26,X-Howie Kendrick,1st,0,0,N
27,X-Gio Gonzalez,1st,0,0,N
